Date,Equity Value,Equity Momentum,Equity Carry,Rates Value,Rates Momentum,Rates Carry,Currency Value,Currency Momentum,Currency Carry,Commodity Value,Commodity Momentum,Commodity Carry
1979-09-28,117.95 ,142.53 ,134.97 ,129.16 ,100.20 ,145.70 ,107.00 ,113.90 ,101.80 ,103.38 ,397.68 ,282.72 
1979-10-31,120.81 ,143.42 ,138.47 ,129.43 ,102.38 ,149.16 ,108.48 ,115.01 ,103.39 ,109.59 ,396.35 ,270.81 
1979-11-30,115.79 ,150.22 ,134.58 ,129.19 ,102.20 ,150.19 ,107.74 ,118.19 ,105.67 ,109.68 ,393.43 ,269.34 
1979-12-31,109.63 ,148.09 ,135.01 ,131.71 ,98.96 ,147.33 ,107.90 ,117.86 ,105.68 ,98.73 ,454.34 ,258.25 
1980-01-31,105.19 ,157.96 ,128.60 ,129.73 ,98.33 ,147.12 ,109.12 ,118.39 ,106.56 ,99.46 ,509.01 ,266.68 
1980-02-29,102.83 ,159.30 ,126.80 ,124.34 ,98.38 ,150.27 ,110.07 ,121.42 ,108.24 ,98.67 ,534.53 ,269.79 
1980-03-31,109.35 ,139.73 ,133.60 ,123.81 ,97.94 ,151.41 ,110.46 ,119.93 ,106.29 ,104.97 ,475.40 ,276.93 
1980-04-30,105.96 ,145.42 ,132.65 ,127.07 ,92.77 ,145.28 ,108.43 ,117.42 ,106.19 ,121.50 ,454.42 ,233.55 
1980-05-30,101.94 ,155.93 ,132.87 ,127.85 ,91.59 ,143.34 ,108.30 ,117.80 ,106.26 ,129.44 ,495.57 ,207.70 
1980-06-30,99.48 ,158.71 ,129.25 ,128.52 ,90.10 ,145.32 ,107.82 ,117.23 ,105.97 ,134.99 ,482.10 ,199.84 
1980-07-31,100.72 ,160.05 ,127.17 ,132.01 ,89.87 ,144.51 ,107.38 ,119.40 ,106.87 ,161.03 ,419.40 ,194.04 
1980-08-29,97.81 ,164.85 ,122.86 ,131.59 ,89.45 ,142.68 ,107.73 ,119.18 ,107.02 ,158.20 ,434.20 ,194.44 
1980-09-30,98.00 ,164.34 ,118.61 ,133.06 ,90.42 ,142.40 ,107.17 ,118.85 ,107.76 ,151.23 ,478.26 ,185.58 
1980-10-31,100.73 ,174.91 ,108.77 ,137.61 ,91.32 ,143.50 ,106.74 ,121.33 ,108.38 ,160.64 ,481.47 ,179.20 
1980-11-28,104.77 ,174.09 ,110.79 ,136.85 ,89.83 ,144.47 ,106.93 ,120.95 ,108.15 ,176.37 ,474.35 ,172.86 
1980-12-31,103.47 ,172.78 ,111.53 ,133.73 ,88.56 ,145.37 ,106.17 ,125.75 ,107.73 ,178.73 ,446.65 ,188.37 
1981-01-30,104.16 ,184.81 ,102.98 ,134.94 ,90.05 ,147.83 ,105.61 ,131.85 ,108.51 ,193.49 ,434.48 ,183.17 
1981-02-27,111.73 ,191.73 ,105.05 ,132.72 ,89.24 ,145.35 ,107.81 ,131.21 ,108.01 ,200.40 ,439.10 ,184.94 
1981-03-31,109.85 ,190.20 ,103.70 ,133.60 ,91.31 ,146.96 ,107.11 ,129.94 ,107.95 ,202.55 ,424.59 ,173.60 
1981-04-30,107.45 ,203.42 ,101.09 ,135.65 ,93.74 ,153.91 ,106.51 ,133.26 ,108.07 ,215.21 ,445.57 ,164.88 
1981-05-29,96.86 ,229.95 ,92.90 ,136.18 ,92.64 ,154.63 ,105.51 ,135.35 ,108.54 ,216.04 ,466.55 ,164.99 
1981-06-30,95.38 ,235.93 ,100.18 ,137.60 ,95.83 ,155.02 ,105.29 ,135.49 ,108.85 ,215.53 ,494.84 ,167.47 
1981-07-31,100.26 ,214.95 ,106.02 ,136.12 ,98.12 ,157.70 ,105.57 ,135.62 ,110.37 ,249.58 ,432.94 ,167.19 
1981-08-31,102.93 ,214.76 ,108.20 ,135.35 ,98.11 ,159.01 ,105.58 ,136.73 ,111.02 ,226.84 ,437.12 ,163.07 
1981-09-30,107.55 ,204.68 ,112.94 ,138.02 ,98.84 ,160.32 ,110.67 ,129.09 ,113.19 ,244.27 ,428.25 ,168.57 
1981-10-30,112.78 ,212.86 ,116.81 ,140.13 ,95.90 ,159.91 ,111.87 ,125.83 ,112.00 ,248.54 ,430.95 ,176.61 
1981-11-30,111.14 ,214.51 ,112.78 ,143.60 ,92.68 ,159.11 ,110.31 ,126.44 ,110.33 ,250.59 ,435.04 ,184.86 
1981-12-31,115.54 ,212.77 ,117.52 ,140.03 ,93.39 ,160.91 ,110.49 ,127.01 ,110.94 ,270.96 ,431.75 ,186.50 
1982-01-29,121.20 ,218.15 ,121.59 ,137.53 ,93.91 ,161.34 ,109.94 ,126.91 ,111.18 ,274.68 ,439.84 ,188.06 
1982-02-26,128.06 ,226.60 ,120.07 ,138.49 ,92.45 ,158.27 ,108.72 ,128.44 ,110.77 ,280.78 ,462.69 ,197.56 
1982-03-31,136.49 ,231.51 ,126.18 ,137.63 ,94.85 ,158.07 ,108.36 ,131.30 ,110.65 ,274.21 ,490.42 ,202.35 
1982-04-30,133.46 ,220.71 ,124.52 ,138.79 ,95.71 ,157.87 ,110.59 ,127.97 ,111.56 ,282.81 ,533.08 ,207.84 
1982-05-31,128.80 ,221.98 ,125.48 ,135.64 ,97.78 ,159.41 ,111.01 ,128.04 ,113.09 ,282.02 ,590.82 ,218.52 
1982-06-30,128.67 ,234.09 ,130.62 ,135.03 ,94.65 ,158.70 ,110.11 ,127.75 ,112.26 ,288.21 ,596.59 ,221.79 
1982-07-30,130.59 ,240.73 ,128.85 ,135.39 ,95.08 ,161.25 ,111.20 ,128.47 ,113.25 ,265.90 ,597.38 ,222.88 
1982-08-31,141.68 ,241.38 ,125.90 ,136.00 ,94.97 ,161.87 ,111.66 ,129.00 ,113.72 ,245.12 ,609.35 ,232.25 
1982-09-30,146.47 ,255.56 ,128.01 ,137.18 ,94.92 ,161.52 ,112.35 ,130.21 ,115.09 ,253.75 ,639.45 ,245.72 
1982-10-29,155.02 ,268.09 ,126.57 ,141.91 ,98.36 ,165.54 ,116.69 ,135.05 ,116.93 ,239.20 ,617.11 ,239.94 
1982-11-30,146.90 ,278.31 ,125.49 ,144.19 ,98.20 ,165.95 ,118.22 ,130.49 ,116.99 ,239.30 ,590.71 ,229.15 
1982-12-31,151.03 ,278.54 ,128.69 ,147.26 ,98.84 ,168.95 ,118.80 ,130.59 ,116.12 ,229.55 ,606.00 ,236.52 
1983-01-31,153.90 ,267.64 ,121.67 ,151.36 ,94.73 ,169.32 ,117.31 ,130.67 ,116.17 ,215.46 ,611.78 ,230.82 
1983-02-28,159.63 ,269.37 ,118.52 ,153.57 ,93.37 ,171.62 ,118.54 ,132.11 ,117.53 ,220.99 ,620.03 ,239.11 
1983-03-31,167.11 ,271.96 ,122.26 ,153.26 ,92.96 ,169.11 ,120.60 ,132.94 ,117.23 ,234.24 ,554.62 ,222.18 
1983-04-29,169.23 ,288.57 ,120.17 ,159.07 ,94.28 ,164.45 ,118.33 ,130.49 ,116.99 ,241.39 ,544.49 ,220.95 
1983-05-31,176.34 ,291.39 ,117.86 ,160.53 ,92.47 ,158.94 ,115.69 ,127.36 ,117.24 ,263.83 ,489.79 ,203.58 
1983-06-30,178.83 ,297.13 ,122.69 ,158.02 ,91.79 ,157.97 ,115.22 ,129.35 ,116.96 ,268.41 ,484.09 ,208.84 
1983-07-29,182.68 ,299.19 ,117.44 ,157.85 ,89.68 ,156.88 ,112.75 ,128.38 ,116.21 ,290.52 ,459.24 ,207.05 
1983-08-31,188.80 ,315.27 ,114.65 ,158.40 ,89.93 ,156.66 ,112.13 ,127.74 ,117.08 ,328.29 ,391.31 ,199.60 
1983-09-30,198.97 ,329.62 ,113.61 ,160.32 ,92.32 ,160.86 ,112.05 ,127.99 ,116.67 ,345.63 ,387.86 ,208.93 
1983-10-31,196.50 ,307.62 ,117.97 ,160.45 ,92.86 ,162.59 ,111.92 ,128.46 ,117.32 ,378.66 ,361.81 ,217.01 
1983-11-30,200.03 ,316.84 ,117.58 ,162.36 ,92.85 ,163.56 ,110.39 ,130.00 ,117.15 ,388.43 ,362.37 ,222.30 
1983-12-30,193.23 ,321.87 ,120.58 ,163.27 ,91.81 ,160.88 ,110.28 ,130.27 ,117.12 ,423.98 ,385.09 ,227.96 
1984-01-31,203.50 ,317.39 ,120.27 ,163.18 ,93.75 ,162.16 ,108.53 ,132.57 ,117.23 ,416.73 ,374.25 ,242.65 
1984-02-29,207.57 ,300.07 ,124.55 ,163.20 ,93.92 ,161.03 ,113.58 ,125.74 ,119.76 ,395.38 ,376.53 ,244.87 
1984-03-30,201.16 ,304.16 ,126.06 ,160.89 ,94.39 ,158.40 ,113.66 ,126.11 ,120.11 ,400.71 ,377.07 ,250.00 
1984-04-30,201.66 ,322.45 ,125.02 ,159.83 ,94.63 ,155.60 ,111.75 ,129.53 ,120.13 ,391.32 ,405.98 ,261.97 
1984-05-31,211.95 ,319.64 ,128.28 ,156.50 ,97.31 ,156.55 ,112.51 ,128.75 ,120.67 ,380.76 ,423.71 ,266.30 
1984-06-29,219.87 ,312.89 ,130.64 ,156.45 ,96.94 ,155.75 ,113.22 ,128.51 ,121.28 ,385.40 ,424.87 ,281.61 
1984-07-31,217.98 ,309.21 ,131.59 ,157.26 ,95.46 ,154.68 ,111.60 ,126.66 ,124.02 ,390.35 ,425.79 ,292.29 
1984-08-31,226.77 ,317.64 ,133.52 ,158.76 ,94.64 ,155.57 ,110.01 ,127.38 ,123.62 ,402.92 ,440.80 ,291.60 
1984-09-28,234.46 ,325.24 ,141.51 ,157.39 ,93.90 ,156.80 ,108.20 ,129.12 ,123.13 ,395.75 ,437.66 ,280.66 
1984-10-31,235.07 ,335.00 ,143.38 ,157.68 ,92.71 ,157.48 ,107.95 ,130.20 ,123.89 ,399.65 ,432.00 ,286.94 
1984-11-30,241.84 ,346.73 ,144.86 ,159.52 ,91.86 ,159.95 ,106.96 ,131.57 ,124.00 ,378.90 ,449.31 ,288.52 
1984-12-31,241.34 ,350.10 ,144.04 ,157.48 ,94.31 ,162.98 ,107.28 ,132.76 ,124.93 ,356.35 ,490.26 ,308.33 
1985-01-31,252.26 ,355.64 ,141.25 ,153.50 ,97.22 ,161.53 ,107.74 ,133.75 ,125.85 ,364.53 ,502.67 ,321.55 
1985-02-28,247.21 ,360.63 ,144.26 ,152.47 ,96.68 ,162.77 ,107.90 ,132.93 ,124.61 ,344.29 ,535.95 ,341.53 
1985-03-29,248.07 ,361.67 ,144.66 ,154.71 ,95.32 ,164.13 ,111.65 ,129.48 ,124.58 ,367.34 ,526.31 ,346.00 
1985-04-30,250.49 ,375.20 ,143.60 ,160.29 ,92.75 ,167.03 ,112.96 ,129.34 ,123.44 ,344.48 ,565.63 ,369.17 
1985-05-31,243.85 ,388.97 ,145.71 ,164.63 ,93.31 ,170.32 ,112.10 ,129.33 ,124.60 ,337.11 ,580.04 ,371.79 
1985-06-28,246.27 ,401.90 ,147.46 ,166.18 ,92.28 ,170.82 ,112.84 ,127.48 ,126.11 ,335.81 ,588.99 ,383.42 
1985-07-31,253.95 ,394.92 ,139.77 ,168.04 ,91.52 ,168.84 ,114.22 ,124.15 ,125.45 ,400.09 ,505.08 ,349.44 
1985-08-30,247.42 ,410.56 ,141.54 ,168.08 ,93.31 ,173.06 ,115.62 ,123.05 ,126.09 ,413.03 ,510.68 ,330.82 
1985-09-30,238.96 ,397.82 ,140.09 ,164.86 ,92.61 ,173.42 ,115.56 ,123.26 ,125.11 ,402.76 ,499.18 ,331.36 
1985-10-31,241.03 ,393.45 ,144.23 ,159.68 ,96.11 ,181.36 ,116.60 ,125.29 ,125.31 ,408.38 ,480.36 ,314.58 
1985-11-29,249.11 ,403.78 ,142.33 ,158.32 ,99.55 ,186.28 ,117.92 ,127.07 ,124.32 ,394.71 ,485.04 ,309.35 
1985-12-31,248.86 ,411.57 ,141.07 ,161.27 ,100.37 ,188.49 ,119.55 ,123.42 ,122.27 ,362.48 ,506.51 ,306.44 
1986-01-31,245.91 ,418.14 ,140.04 ,158.49 ,99.05 ,184.80 ,120.86 ,123.58 ,123.77 ,396.58 ,449.31 ,289.14 
1986-02-28,243.22 ,424.96 ,139.50 ,161.08 ,101.38 ,186.55 ,123.55 ,128.32 ,120.72 ,399.34 ,441.16 ,287.97 
1986-03-31,241.99 ,450.24 ,133.76 ,162.37 ,102.56 ,183.36 ,119.10 ,124.12 ,121.50 ,427.03 ,472.72 ,257.80 
1986-04-30,236.89 ,489.19 ,132.75 ,160.30 ,102.46 ,179.54 ,122.06 ,126.12 ,121.48 ,467.18 ,454.08 ,288.49 
1986-05-30,240.81 ,466.86 ,134.63 ,153.46 ,97.38 ,177.74 ,121.94 ,123.81 ,121.54 ,467.04 ,406.74 ,278.94 
1986-06-30,239.27 ,430.45 ,140.81 ,150.71 ,97.53 ,180.79 ,121.02 ,127.70 ,116.99 ,428.28 ,409.04 ,277.99 
1986-07-31,213.97 ,456.09 ,141.61 ,148.48 ,98.72 ,181.90 ,120.83 ,132.98 ,111.78 ,388.24 ,435.81 ,266.66 
1986-08-29,208.97 ,462.77 ,145.03 ,147.29 ,99.34 ,182.20 ,120.69 ,135.19 ,110.66 ,408.03 ,379.35 ,260.95 
1986-09-30,212.51 ,447.94 ,143.03 ,144.21 ,99.03 ,181.36 ,120.70 ,134.41 ,111.55 ,427.44 ,384.92 ,261.72 
1986-10-31,208.47 ,425.55 ,143.94 ,141.41 ,99.26 ,185.36 ,122.80 ,129.87 ,114.92 ,449.25 ,381.77 ,262.11 
1986-11-28,209.98 ,434.13 ,148.28 ,141.47 ,99.18 ,188.10 ,123.82 ,132.60 ,113.91 ,449.26 ,392.36 ,267.04 
1986-12-31,206.20 ,447.94 ,148.67 ,143.27 ,97.88 ,187.83 ,124.93 ,131.07 ,115.50 ,487.81 ,356.57 ,242.27 
1987-01-30,217.03 ,439.62 ,145.89 ,143.03 ,98.43 ,186.16 ,123.76 ,134.11 ,114.34 ,521.87 ,346.16 ,235.86 
1987-02-27,208.94 ,459.63 ,147.38 ,141.50 ,98.80 ,188.22 ,124.47 ,131.90 ,116.06 ,498.72 ,368.33 ,251.76 
1987-03-31,210.86 ,446.34 ,144.62 ,143.32 ,97.45 ,186.71 ,123.85 ,129.61 ,116.91 ,506.24 ,374.13 ,269.40 
1987-04-30,203.20 ,457.40 ,139.48 ,147.69 ,93.88 ,178.72 ,123.01 ,129.47 ,117.07 ,503.40 ,368.07 ,263.64 
1987-05-29,203.94 ,485.96 ,143.95 ,153.37 ,91.29 ,176.33 ,123.86 ,127.50 ,118.72 ,502.98 ,390.10 ,266.44 
1987-06-30,211.35 ,483.24 ,151.88 ,156.24 ,89.24 ,179.17 ,124.96 ,125.54 ,120.68 ,508.73 ,408.67 ,276.89 
1987-07-31,212.63 ,484.08 ,152.74 ,160.52 ,87.52 ,181.88 ,124.89 ,125.43 ,120.40 ,479.85 ,463.68 ,300.49 
1987-08-31,211.64 ,499.25 ,150.59 ,160.85 ,89.28 ,181.94 ,124.87 ,126.16 ,121.23 ,481.79 ,457.08 ,309.26 
1987-09-30,210.48 ,503.59 ,148.18 ,164.36 ,90.80 ,180.08 ,126.16 ,129.08 ,124.38 ,505.14 ,443.25 ,299.23 
1987-10-30,222.87 ,429.13 ,152.13 ,161.26 ,89.45 ,186.65 ,125.70 ,122.78 ,120.26 ,531.57 ,404.10 ,289.84 
1987-11-30,215.21 ,432.76 ,147.16 ,163.25 ,87.97 ,185.09 ,126.32 ,124.51 ,120.74 ,496.93 ,401.21 ,294.77 
1987-12-31,216.44 ,455.21 ,151.70 ,162.42 ,87.13 ,184.36 ,124.56 ,123.62 ,119.18 ,480.07 ,369.99 ,275.64 
1988-01-29,208.17 ,481.69 ,152.66 ,161.78 ,85.75 ,183.45 ,123.29 ,124.05 ,122.66 ,500.87 ,363.76 ,274.62 
1988-02-29,199.16 ,452.50 ,159.48 ,165.92 ,86.26 ,184.96 ,124.19 ,123.92 ,124.16 ,510.63 ,379.55 ,276.59 
1988-03-31,200.07 ,466.03 ,152.70 ,163.11 ,86.96 ,186.12 ,125.14 ,124.88 ,124.13 ,525.80 ,361.13 ,279.22 
1988-04-29,196.31 ,458.97 ,154.31 ,161.13 ,87.45 ,184.21 ,125.65 ,127.81 ,126.98 ,521.60 ,368.08 ,284.94 
1988-05-31,195.48 ,462.30 ,151.49 ,163.73 ,86.47 ,185.98 ,126.23 ,131.77 ,130.46 ,499.60 ,395.09 ,272.59 
1988-06-30,196.59 ,458.04 ,154.31 ,166.91 ,88.75 ,185.71 ,127.31 ,133.38 ,132.63 ,440.20 ,427.03 ,209.47 
1988-07-29,198.56 ,454.23 ,154.51 ,167.79 ,89.04 ,183.67 ,127.88 ,136.94 ,133.81 ,495.74 ,378.37 ,231.06 
1988-08-31,199.84 ,464.41 ,159.25 ,169.44 ,90.37 ,185.97 ,129.59 ,135.02 ,133.40 ,451.93 ,412.35 ,229.27 
1988-09-30,202.25 ,469.96 ,161.83 ,169.85 ,89.66 ,187.49 ,129.32 ,135.91 ,133.42 ,429.17 ,427.03 ,239.90 
1988-10-31,202.70 ,470.58 ,162.36 ,170.03 ,88.96 ,187.63 ,129.56 ,133.67 ,131.68 ,453.93 ,399.22 ,248.56 
1988-11-30,200.40 ,481.06 ,162.22 ,171.34 ,89.12 ,188.90 ,128.93 ,136.15 ,133.89 ,501.66 ,351.60 ,252.51 
